Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,9,0.61,0.91,0.393624527
100% Corpus,9,asymmetric,0.91,0.389904333
100% Corpus,9,0.91,0.91,0.389111544
100% Corpus,9,0.31,0.91,0.386646738
100% Corpus,9,symmetric,0.91,0.386646738
100% Corpus,9,0.01,0.91,0.385749339
75% Corpus,9,asymmetric,0.61,0.365122715
75% Corpus,8,0.61,0.91,0.358926558
75% Corpus,8,0.31,0.91,0.358180957
75% Corpus,8,symmetric,0.91,0.357401135
75% Corpus,8,0.01,0.91,0.355693443
75% Corpus,8,0.91,0.91,0.351658415
100% Corpus,8,asymmetric,0.91,0.349124409
75% Corpus,7,asymmetric,0.91,0.347713938
100% Corpus,8,0.31,0.91,0.345010399
100% Corpus,8,symmetric,0.91,0.345010399
75% Corpus,10,asymmetric,0.91,0.342194111
100% Corpus,8,0.01,0.91,0.341338096
75% Corpus,9,0.31,0.61,0.339815593
75% Corpus,7,0.01,0.91,0.338325875
75% Corpus,7,0.31,0.91,0.338325875
75% Corpus,7,0.61,0.91,0.338325875
75% Corpus,7,0.91,0.91,0.338325875
75% Corpus,7,symmetric,0.91,0.338325875
75% Corpus,9,0.01,0.61,0.338025484
75% Corpus,9,symmetric,0.61,0.338025484
75% Corpus,9,asymmetric,0.91,0.337834878
75% Corpus,10,0.31,0.91,0.337515025
75% Corpus,9,0.91,0.61,0.336772876
75% Corpus,9,0.61,0.61,0.33630276
75% Corpus,10,0.61,0.91,0.336134751
75% Corpus,10,0.01,0.91,0.335965405
75% Corpus,10,symmetric,0.91,0.335879516
100% Corpus,10,0.91,0.91,0.332132152
75% Corpus,10,0.91,0.91,0.331959501
75% Corpus,9,0.91,0.91,0.330225677
75% Corpus,9,0.61,0.91,0.326873055
75% Corpus,9,0.01,0.91,0.326035248
75% Corpus,9,0.31,0.91,0.326035248
75% Corpus,9,symmetric,0.91,0.326035248
100% Corpus,9,asymmetric,0.61,0.325364497
75% Corpus,10,symmetric,0.61,0.323799261
75% Corpus,10,asymmetric,0.61,0.323005832
75% Corpus,10,0.01,0.61,0.322086017
75% Corpus,10,0.91,0.61,0.32184184
100% Corpus,10,0.61,0.91,0.321158931
75% Corpus,10,0.31,0.61,0.320995179
100% Corpus,10,asymmetric,0.91,0.320274052
75% Corpus,10,0.61,0.61,0.319034472
100% Corpus,10,0.01,0.91,0.316784844
100% Corpus,10,0.31,0.91,0.316021653
100% Corpus,10,symmetric,0.91,0.314885314
75% Corpus,10,0.91,0.31,0.308635519
100% Corpus,9,0.01,0.61,0.305623753
100% Corpus,9,0.31,0.61,0.305623753
100% Corpus,9,0.61,0.61,0.305623753
100% Corpus,9,symmetric,0.61,0.305623753
75% Corpus,10,asymmetric,0.31,0.304830931
100% Corpus,6,asymmetric,0.91,0.304516306
75% Corpus,10,0.61,0.31,0.303016781
75% Corpus,10,symmetric,0.31,0.302807546
100% Corpus,7,asymmetric,0.91,0.300487445
100% Corpus,9,0.91,0.61,0.300359026
75% Corpus,10,0.01,0.31,0.298999437
75% Corpus,10,0.31,0.31,0.298565908
100% Corpus,6,0.01,0.61,0.298475941
100% Corpus,7,0.01,0.61,0.297821934
100% Corpus,7,symmetric,0.61,0.297821934
100% Corpus,7,0.91,0.91,0.297637474
100% Corpus,7,0.31,0.61,0.297614338
100% Corpus,6,0.31,0.61,0.297075586
100% Corpus,6,symmetric,0.61,0.297075586
100% Corpus,7,0.31,0.01,0.29670188
100% Corpus,7,asymmetric,0.01,0.29670188
100% Corpus,6,0.61,0.61,0.296210863
75% Corpus,6,asymmetric,0.91,0.295977583
100% Corpus,7,symmetric,0.01,0.295465692
100% Corpus,6,0.31,0.91,0.295260406
100% Corpus,6,symmetric,0.91,0.295260406
100% Corpus,7,asymmetric,0.61,0.294836099
100% Corpus,6,asymmetric,0.61,0.294564061
75% Corpus,8,asymmetric,symmetric,0.294451122
75% Corpus,8,0.91,0.61,0.294308781
100% Corpus,7,0.01,0.01,0.29427506
100% Corpus,6,0.61,0.91,0.293857814
100% Corpus,6,0.91,0.91,0.293857814
100% Corpus,10,0.61,0.61,0.293849486
100% Corpus,6,0.91,0.31,0.293385442
75% Corpus,8,0.61,symmetric,0.293065657
100% Corpus,7,0.91,0.31,0.292919824
75% Corpus,7,0.31,0.01,0.292866589
75% Corpus,7,0.61,0.01,0.292866589
75% Corpus,7,0.91,0.01,0.292866589
75% Corpus,7,symmetric,0.01,0.292866589
75% Corpus,7,asymmetric,0.01,0.292866589
100% Corpus,8,0.91,0.61,0.292638496
100% Corpus,7,0.61,0.01,0.292579647
100% Corpus,7,0.91,0.01,0.292453581
100% Corpus,7,0.61,0.91,0.292348609
75% Corpus,9,0.91,0.31,0.29221622
100% Corpus,8,0.61,0.31,0.292015277
100% Corpus,7,0.91,symmetric,0.291979238
100% Corpus,10,0.31,0.61,0.291928585
75% Corpus,8,0.91,symmetric,0.291843647
100% Corpus,6,0.01,0.31,0.291718377
100% Corpus,6,0.31,0.31,0.291718377
100% Corpus,6,symmetric,0.31,0.291718377
75% Corpus,9,0.61,0.31,0.291599359
100% Corpus,10,0.91,0.61,0.2915061
100% Corpus,8,0.61,0.61,0.291470683
100% Corpus,7,0.61,symmetric,0.291434927
100% Corpus,6,0.01,0.91,0.291295392
100% Corpus,9,0.91,symmetric,0.291271774
100% Corpus,9,0.61,symmetric,0.291262107
100% Corpus,7,0.01,0.91,0.29116092
100% Corpus,8,0.01,0.61,0.291159452
75% Corpus,6,asymmetric,symmetric,0.290865583
75% Corpus,7,0.31,symmetric,0.290834387
75% Corpus,7,asymmetric,symmetric,0.290834387
75% Corpus,8,0.31,symmetric,0.290798753
75% Corpus,6,0.31,0.91,0.290415691
75% Corpus,6,0.61,0.91,0.290415691
75% Corpus,6,0.91,0.91,0.290415691
75% Corpus,8,0.01,symmetric,0.290349508
75% Corpus,8,symmetric,symmetric,0.290349508
75% Corpus,7,0.01,symmetric,0.290330217
75% Corpus,7,symmetric,symmetric,0.290330217
100% Corpus,6,0.61,0.31,0.290234103
100% Corpus,6,asymmetric,0.31,0.290234103
100% Corpus,7,0.61,0.61,0.29020597
100% Corpus,7,0.91,0.61,0.29020597
75% Corpus,6,0.01,0.91,0.289983375
100% Corpus,7,0.31,0.91,0.289867424
100% Corpus,8,0.91,0.31,0.289749773
100% Corpus,6,0.61,0.01,0.289700708
100% Corpus,6,0.91,0.01,0.289700708
100% Corpus,6,asymmetric,0.01,0.289700708
100% Corpus,9,asymmetric,symmetric,0.289643686
100% Corpus,7,0.31,symmetric,0.289557239
100% Corpus,8,0.61,0.91,0.289444638
100% Corpus,9,0.31,0.01,0.28932462
100% Corpus,7,0.61,0.31,0.289312396
100% Corpus,8,0.91,0.91,0.289272713
100% Corpus,10,0.01,0.61,0.289262
75% Corpus,7,0.61,symmetric,0.289226496
75% Corpus,9,symmetric,0.31,0.289170775
100% Corpus,10,asymmetric,0.61,0.289120848
100% Corpus,7,symmetric,0.91,0.289063303
100% Corpus,8,0.61,symmetric,0.289004865
100% Corpus,10,0.91,0.01,0.288976932
100% Corpus,6,0.91,0.61,0.288887653
100% Corpus,6,0.01,symmetric,0.288876724
100% Corpus,8,0.01,0.31,0.288801099
75% Corpus,9,0.31,0.31,0.288752945
75% Corpus,7,0.91,symmetric,0.288652013
100% Corpus,7,0.01,0.31,0.288566108
100% Corpus,7,0.31,0.31,0.288566108
100% Corpus,7,symmetric,0.31,0.288566108
100% Corpus,7,asymmetric,0.31,0.288566108
100% Corpus,9,0.01,symmetric,0.288558921
100% Corpus,9,0.31,symmetric,0.288558921
100% Corpus,9,symmetric,symmetric,0.288558921
100% Corpus,8,0.31,0.61,0.2882424
100% Corpus,8,symmetric,0.61,0.2882424
75% Corpus,7,0.01,0.01,0.288090917
100% Corpus,10,symmetric,0.61,0.288043875
75% Corpus,6,symmetric,0.91,0.287870578
75% Corpus,9,0.01,symmetric,0.287684884
75% Corpus,9,symmetric,symmetric,0.287684884
100% Corpus,6,asymmetric,symmetric,0.287529275
100% Corpus,9,0.91,0.01,0.28749747
75% Corpus,8,asymmetric,0.01,0.287448867
75% Corpus,10,0.91,0.01,0.287427817
100% Corpus,8,0.91,symmetric,0.287131258
100% Corpus,6,0.91,symmetric,0.286969293
75% Corpus,6,0.31,0.31,0.286812255
75% Corpus,9,asymmetric,symmetric,0.286785839
100% Corpus,4,0.61,0.31,0.286765481
100% Corpus,4,0.91,0.31,0.286765481
75% Corpus,9,0.31,symmetric,0.286698947
75% Corpus,9,0.61,symmetric,0.286698947
100% Corpus,4,asymmetric,0.61,0.286688407
100% Corpus,8,asymmetric,0.31,0.286628748
75% Corpus,9,0.01,0.31,0.286605514
100% Corpus,7,asymmetric,symmetric,0.286581139
75% Corpus,9,asymmetric,0.31,0.286528798
100% Corpus,3,0.01,0.01,0.286414263
100% Corpus,3,0.31,0.01,0.286414263
100% Corpus,3,0.61,0.01,0.286414263
100% Corpus,3,0.91,0.01,0.286414263
100% Corpus,3,symmetric,0.01,0.286414263
100% Corpus,3,asymmetric,0.01,0.286414263
100% Corpus,4,0.31,0.61,0.286403233
100% Corpus,4,symmetric,0.61,0.286403233
100% Corpus,8,0.31,symmetric,0.286378176
100% Corpus,6,0.01,0.01,0.28635528
100% Corpus,6,0.31,0.01,0.28635528
100% Corpus,6,symmetric,0.01,0.28635528
100% Corpus,6,0.31,symmetric,0.286240516
100% Corpus,6,0.61,symmetric,0.286240516
75% Corpus,8,0.01,0.01,0.286222073
100% Corpus,7,symmetric,symmetric,0.286103501
75% Corpus,10,0.01,0.01,0.286068458
75% Corpus,6,0.91,0.31,0.28606588
75% Corpus,6,0.01,symmetric,0.28596586
75% Corpus,6,0.61,0.31,0.285911588
75% Corpus,8,0.31,0.01,0.28579581
75% Corpus,8,0.61,0.01,0.28579581
75% Corpus,8,0.91,0.01,0.28579581
75% Corpus,8,symmetric,0.01,0.28579581
100% Corpus,9,asymmetric,0.31,0.285778167
100% Corpus,9,symmetric,0.01,0.285685622
75% Corpus,8,0.31,0.31,0.285682276
75% Corpus,8,0.61,0.31,0.285682276
75% Corpus,8,symmetric,0.31,0.285682276
75% Corpus,10,0.61,0.01,0.285634864
75% Corpus,6,asymmetric,0.31,0.285617745
75% Corpus,6,0.31,symmetric,0.285440827
75% Corpus,6,symmetric,symmetric,0.285440827
100% Corpus,8,symmetric,0.31,0.285393315
100% Corpus,4,0.91,0.61,0.285377175
100% Corpus,9,0.61,0.31,0.285372467
100% Corpus,7,0.01,symmetric,0.285275185
100% Corpus,6,symmetric,symmetric,0.285245457
75% Corpus,6,0.91,0.61,0.285223664
100% Corpus,4,0.31,symmetric,0.285203615
100% Corpus,4,0.61,symmetric,0.285203615
100% Corpus,4,0.91,symmetric,0.285203615
100% Corpus,4,symmetric,symmetric,0.285203615
100% Corpus,4,asymmetric,symmetric,0.285203615
100% Corpus,4,0.61,0.61,0.285092
75% Corpus,8,0.01,0.31,0.285091271
100% Corpus,9,0.01,0.01,0.284986234
75% Corpus,10,0.31,0.01,0.284875523
75% Corpus,10,symmetric,0.01,0.284875523
100% Corpus,9,0.61,0.01,0.284848126
75% Corpus,8,asymmetric,0.61,0.284777632
100% Corpus,8,asymmetric,0.61,0.284751877
100% Corpus,8,0.01,symmetric,0.284721234
100% Corpus,8,asymmetric,symmetric,0.284721234
75% Corpus,8,0.91,0.31,0.284671621
75% Corpus,6,symmetric,0.31,0.284427937
75% Corpus,8,0.61,0.61,0.284284066
100% Corpus,8,0.61,0.01,0.284263172
75% Corpus,8,asymmetric,0.31,0.284258696
100% Corpus,9,0.31,0.31,0.284255857
75% Corpus,6,0.61,symmetric,0.284252031
100% Corpus,8,0.01,0.01,0.284249195
75% Corpus,6,0.61,0.01,0.284177693
75% Corpus,6,0.91,0.01,0.284177693
100% Corpus,10,0.61,symmetric,0.284172915
100% Corpus,4,0.01,0.31,0.284062189
100% Corpus,4,0.31,0.31,0.284062189
100% Corpus,4,symmetric,0.31,0.284062189
100% Corpus,4,asymmetric,0.31,0.284062189
100% Corpus,10,0.31,symmetric,0.2840399
75% Corpus,9,0.91,symmetric,0.283979595
75% Corpus,6,asymmetric,0.61,0.283939187
75% Corpus,6,asymmetric,0.01,0.283776184
100% Corpus,10,0.61,0.01,0.28376445
100% Corpus,9,0.01,0.31,0.283527696
100% Corpus,9,symmetric,0.31,0.283527696
100% Corpus,10,0.91,symmetric,0.283416658
75% Corpus,6,0.91,symmetric,0.283412795
100% Corpus,8,asymmetric,0.01,0.283148599
100% Corpus,8,0.91,0.01,0.282805879
100% Corpus,8,0.31,0.01,0.282746511
100% Corpus,8,symmetric,0.01,0.282746511
100% Corpus,10,0.31,0.01,0.28268516
100% Corpus,9,asymmetric,0.01,0.282640698
75% Corpus,10,asymmetric,0.01,0.282573697
75% Corpus,6,0.01,0.31,0.282571914
100% Corpus,8,symmetric,symmetric,0.282445717
100% Corpus,10,0.01,0.01,0.282328226
100% Corpus,10,symmetric,0.01,0.282328226
100% Corpus,10,asymmetric,0.01,0.282239219
75% Corpus,6,0.01,0.01,0.282230182
75% Corpus,6,0.31,0.01,0.282230182
75% Corpus,6,symmetric,0.01,0.282230182
75% Corpus,8,0.31,0.61,0.281940266
100% Corpus,4,0.01,symmetric,0.28193399
75% Corpus,5,0.31,0.91,0.281759203
75% Corpus,5,0.61,0.91,0.281759203
75% Corpus,6,0.01,0.61,0.281743298
75% Corpus,6,0.31,0.61,0.281743298
75% Corpus,6,0.61,0.61,0.281743298
75% Corpus,6,symmetric,0.61,0.281743298
100% Corpus,4,0.31,0.01,0.281430246
100% Corpus,4,0.61,0.01,0.281430246
100% Corpus,4,0.91,0.01,0.281430246
100% Corpus,4,symmetric,0.01,0.281430246
100% Corpus,4,asymmetric,0.01,0.281430246
100% Corpus,4,0.01,0.61,0.281384229
100% Corpus,10,0.01,symmetric,0.281217992
75% Corpus,7,0.01,0.31,0.281045373
75% Corpus,7,0.31,0.31,0.281045373
75% Corpus,7,0.61,0.31,0.281045373
75% Corpus,7,0.91,0.31,0.281045373
75% Corpus,7,symmetric,0.31,0.281045373
75% Corpus,8,0.01,0.61,0.280614073
