Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,7,symmetric,0.91,0.469246286
75% Corpus,7,0.31,0.91,0.466774304
75% Corpus,7,0.01,0.91,0.464637424
75% Corpus,7,asymmetric,0.61,0.443427156
75% Corpus,5,0.01,0.61,0.438970219
75% Corpus,6,symmetric,0.91,0.435453164
75% Corpus,5,symmetric,0.61,0.434266318
75% Corpus,6,0.31,0.91,0.432792617
75% Corpus,6,0.01,0.91,0.431725264
75% Corpus,5,0.01,0.31,0.431716237
75% Corpus,6,0.31,0.61,0.430795534
75% Corpus,6,0.61,0.91,0.430105354
75% Corpus,5,asymmetric,0.31,0.429868576
75% Corpus,8,asymmetric,0.61,0.42494935
75% Corpus,5,asymmetric,symmetric,0.42470875
75% Corpus,7,0.61,0.91,0.424390817
75% Corpus,5,asymmetric,0.61,0.422708271
75% Corpus,5,0.01,symmetric,0.42224984
75% Corpus,6,asymmetric,0.61,0.421936354
75% Corpus,9,asymmetric,0.91,0.421920507
75% Corpus,5,symmetric,0.31,0.418270825
75% Corpus,7,0.01,0.61,0.415148896
100% Corpus,5,asymmetric,symmetric,0.414780987
75% Corpus,5,0.01,0.91,0.41448876
75% Corpus,7,0.31,0.61,0.414179332
75% Corpus,5,symmetric,0.91,0.413980538
75% Corpus,6,0.61,0.61,0.413295717
100% Corpus,5,asymmetric,0.01,0.413037506
75% Corpus,3,asymmetric,0.61,0.412303002
75% Corpus,3,asymmetric,0.91,0.412303002
75% Corpus,3,asymmetric,symmetric,0.412303002
75% Corpus,6,asymmetric,0.91,0.412287511
75% Corpus,7,symmetric,0.61,0.412062021
75% Corpus,9,asymmetric,0.61,0.411499061
75% Corpus,3,0.01,0.01,0.411369678
75% Corpus,6,0.01,0.61,0.411175228
75% Corpus,5,asymmetric,0.91,0.410865173
75% Corpus,5,asymmetric,0.01,0.409116953
100% Corpus,10,symmetric,0.01,0.409029134
75% Corpus,3,0.31,0.01,0.408874738
75% Corpus,3,symmetric,0.01,0.408874738
